Date,On_Ticker_SPY,On_Price_SPY,On_Shares_SPY,On_Dividend_SPY,On_Ticker_DIA,On_Price_DIA,On_Shares_DIA,On_Dividend_DIA,Off_Ticker_TLT,Off_Price_TLT,Off_Shares_TLT,Off_Dividend_TLT,Cash,Capital,InOutCash,Bench
2007-12-31,0,146.21,46.001898489433835,0.0,0,132.55,76.11604200083126,0.0,0,93.04,141.6917637992044,0.0,0.0,29998,0,51.44
2008-01-02,0,144.93,46.001898489433835,0.0,0,130.63,76.11604200083126,0.0,0,94.38,141.6917637992044,0.0,0.0,29982,0,50.629999999999995
2008-01-03,0,144.86,46.001898489433835,0.0,0,130.74,76.11604200083126,0.0,0,94.25,141.6917637992044,0.0,0.0,29969,0,50.839999999999996
2008-01-04,0,141.31,46.001898489433835,0.0,0,128.17,76.11604200083126,0.0,0,94.27,141.6917637992044,0.0,0.0,29613,0,48.62
2008-01-07,0,141.19,46.001898489433835,0.0,0,128.06,76.11604200083126,0.0,0,94.68,141.6917637992044,0.0,0.0,29657,0,48.39
2008-01-08,0,138.91,46.001898489433835,0.0,0,125.85,76.11604200083126,0.0,0,94.57,141.6917637992044,0.0,0.0,29369,0,47.14
2008-01-09,0,140.37,46.001898489433835,0.0,0,126.96,76.11604200083126,0.0,0,94.75,141.6917637992044,0.0,0.0,29546,0,48.14
2008-01-10,0,141.29,46.001898489433835,0.0,0,127.82,76.11604200083126,0.0,0,93.47,141.6917637992044,0.0,0.0,29472,0,48.21
2008-01-11,0,140.15,46.001898489433835,0.0,0,126.19,76.11604200083126,0.0,0,94.2,141.6917637992044,0.0,0.0,29399,0,47.269999999999996
2008-01-14,0,141.28,46.001898489433835,0.0,0,127.51,76.11604200083126,0.0,0,94.55,141.6917637992044,0.0,0.0,29601,0,48.089999999999996
2008-01-15,0,138.17,46.001898489433835,0.0,0,125.3,76.11604200083126,0.0,0,95.61,141.6917637992044,0.0,0.0,29440,0,46.769999999999996
2008-01-16,0,136.98,46.001898489433835,0.0,0,124.65,76.11604200083126,0.0,0,94.92,141.6917637992044,0.0,0.0,29238,0,46.269999999999996
2008-01-17,0,133.43,46.001898489433835,0.0,0,121.77,76.11604200083126,0.0,0,96.15,141.6917637992044,0.0,0.0,29030,0,45.629999999999995
2008-01-18,0,132.06,46.001898489433835,0.0,0,120.57,76.11604200083126,0.14,0,95.49,141.6917637992044,0.0,0.0,28782,0,45.57
2008-01-22,0,130.72,46.001898489433835,0.0,0,119.22,76.11604200083126,0.0,0,96.51,141.6917637992044,0.0,0.0,28762,0,44.4
2008-01-23,0,133.86,46.001898489433835,0.0,0,122.7,76.11604200083126,0.0,0,96.29,141.6917637992044,0.0,0.0,29140,0,44.23
2008-01-24,0,134.99,46.001898489433835,0.0,0,123.43,76.11604200083126,0.0,0,94.36,141.6917637992044,0.0,0.0,28974,0,45.129999999999995
2008-01-25,0,133.04,46.001898489433835,0.0,0,122.19,76.11604200083126,0.0,0,95.95,141.6917637992044,0.0,0.0,29016,0,44.21
2008-01-28,0,135.24,46.001898489433835,0.0,0,123.53,76.11604200083126,0.0,0,95.59,141.6917637992044,0.0,0.0,29168,0,44.55
2008-01-29,0,135.91,46.001898489433835,0.0,0,124.54,76.11604200083126,0.0,0,94.94,141.6917637992044,0.0,0.0,29183,0,44.629999999999995
2008-01-30,0,134.91,46.001898489433835,0.0,0,123.78,76.11604200083126,0.0,0,94.32,141.6917637992044,0.0,0.0,28992,0,44.589999999999996
2008-01-31,0,137.37,72.86745618783327,0.0,0,126.0,119.16431495860304,0.0,0,94.99,58.886325821791196,0.0,0.0,30618,0,45.35
2008-02-01,0,139.58,72.86745618783327,0.0,0,127.43,119.16431495860304,0.0,0,95.23,58.886325821791196,0.329,0.0,30963,0,45.81
2008-02-04,0,137.82,72.86745618783327,0.0,0,126.03,119.16431495860304,0.0,0,94.25,58.886325821791196,0.0,0.0,30610,0,45.17
