Date,Open,High,Low,Close,Volume,Dividend,Momentum_1,Momentum_3,Momentum_6
1986-05-19,10.0,10.0,10.0,10.0,0,0.0,,,
1986-05-20,9.98,9.98,9.98,9.98,0,0.0,,,
1986-05-21,10.08,10.08,10.08,10.08,0,0.0,,,
1986-05-22,10.06,10.06,10.06,10.06,0,0.0,,,
1986-05-23,10.08,10.08,10.08,10.08,0,0.0,,,
1986-05-27,10.13,10.13,10.13,10.13,0,0.0,,,
1986-05-28,10.0,10.0,10.0,10.0,0,0.0,,,
1986-05-29,9.96,9.96,9.96,9.96,0,0.023,,,
1986-05-30,9.96,9.96,9.96,9.96,0,0.0,,,
1986-06-02,9.83,9.83,9.83,9.83,0,0.0,0.983,,
1986-06-03,9.85,9.85,9.85,9.85,0,0.0,,,
1986-06-04,9.83,9.83,9.83,9.83,0,0.0,,,
1986-06-05,9.8,9.8,9.8,9.8,0,0.0,,,
1986-06-06,9.94,9.94,9.94,9.94,0,0.0,,,
1986-06-09,9.89,9.89,9.89,9.89,0,0.0,,,
1986-06-10,9.85,9.85,9.85,9.85,0,0.0,,,
1986-06-11,9.84,9.84,9.84,9.84,0,0.0,,,
1986-06-12,9.87,9.87,9.87,9.87,0,0.0,,,
1986-06-13,9.92,9.92,9.92,9.92,0,0.0,,,
1986-06-16,10.06,10.06,10.06,10.06,0,0.0,,,
1986-06-17,10.06,10.06,10.06,10.06,0,0.0,,,
1986-06-18,10.03,10.03,10.03,10.03,0,0.0,,,
1986-06-19,9.97,9.97,9.97,9.97,0,0.0,,,
1986-06-20,10.02,10.02,10.02,10.02,0,0.0,,,
1986-06-23,10.08,10.08,10.08,10.08,0,0.0,,,
1986-06-24,10.12,10.12,10.12,10.12,0,0.0,,,
1986-06-25,10.14,10.14,10.14,10.14,0,0.0,,,
1986-06-26,10.15,10.15,10.15,10.15,0,0.0,,,
1986-06-27,10.19,10.19,10.19,10.19,0,0.0,,,
1986-06-30,10.22,10.22,10.22,10.22,0,0.06,1.0261044176706826,,
1986-07-01,10.22,10.22,10.22,10.22,0,0.0,1.0396744659206512,,
1986-07-02,10.22,10.22,10.22,10.22,0,0.0,,,
1986-07-03,10.29,10.29,10.29,10.29,0,0.0,,,
1986-07-07,10.28,10.28,10.28,10.28,0,0.0,,,
1986-07-08,10.18,10.18,10.18,10.18,0,0.0,,,
1986-07-09,10.22,10.22,10.22,10.22,0,0.0,,,
1986-07-10,10.26,10.26,10.26,10.26,0,0.0,,,
1986-07-11,10.26,10.26,10.26,10.26,0,0.0,,,
1986-07-14,10.27,10.27,10.27,10.27,0,0.0,,,
1986-07-15,10.28,10.28,10.28,10.28,0,0.0,,,
1986-07-16,10.36,10.36,10.36,10.36,0,0.0,,,
1986-07-17,10.28,10.28,10.28,10.28,0,0.0,,,
1986-07-18,10.27,10.27,10.27,10.27,0,0.0,,,
1986-07-21,10.29,10.29,10.29,10.29,0,0.0,,,
1986-07-22,10.23,10.23,10.23,10.23,0,0.0,,,
1986-07-23,10.13,10.13,10.13,10.13,0,0.0,,,
1986-07-24,10.08,10.08,10.08,10.08,0,0.0,,,
1986-07-25,10.06,10.06,10.06,10.06,0,0.0,,,
1986-07-28,9.99,9.99,9.99,9.99,0,0.0,,,
1986-07-29,9.98,9.98,9.98,9.98,0,0.0,,,
1986-07-30,10.02,10.02,10.02,10.02,0,0.0,,,
